Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/car-the-garden/,47.6146474,-122.3490734,Light Rain Likely
Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/cheryl-wheeler/,47.6086439,-122.337685,Light Rain Likely
Giantish,1/30/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/giantish/,41.7111625,-93.6318959,Mostly Sunny
Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/seattle-thunderbirds-vs-prince-george-cougars-2/,47.38765995,-122.24000381780328,Light Rain Likely
A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/a-political-rocks/,47.6565246,-122.31173279895636,Light Rain
Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District,https://visitseattle.org/events/sophia-al-maria/,47.6565246,-122.31173279895636,Light Rain
Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/jahari-stampley/,47.6148163,-122.339691,Light Rain
FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/fraktured-home-of-the-broken-beat/,41.7111625,-93.6318959,Mostly Sunny
G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/g3-25th-anniversary-reunion/,42.2896932,-83.7207314,Mostly Cloudy
JP Saxe,1/31/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/jp-saxe/,47.6085136,-122.3394726,Light Rain
Los Lobos,1/31/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/los-lobos/,47.6086439,-122.337685,Light Rain
BabyTron,2/1/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/babytron/,47.6085136,-122.3394726,Weather forecast not found for specific date
Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,https://visitseattle.org/events/catalyzing-change-with-akuyea-karen-vargas/,47.6251322,-122.51453295865404,Weather forecast not found for specific date
Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/jamila-woods/,47.613954,-122.3196108,Weather forecast not found for specific date
Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/jazz-is-dead-blue-note-85/,N/A,N/A,N/A
Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District,https://visitseattle.org/events/michelle-cann/,N/A,N/A,N/A
Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/pakt/,43.6576535,-72.2840663,Mostly Cloudy
Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/erik-walters/,-13.248885,-41.0275842,Weather API response code: 404
Memoir,2/2/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/memoir/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/nora-en-pure/,47.5880461,-122.333928,Weather forecast not found for specific date
Poolside,2/2/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/poolside/,47.6085136,-122.3394726,Weather forecast not found for specific date
Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South,https://visitseattle.org/events/tacoma-stars-vs-monterrey-flash/,47.38765995,-122.24000381780328,Weather forecast not found for specific date
Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/jaha-koo-the-history-of-korean-western-theatre/,50.2622955,-5.0548053,Weather API response code: 404
The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-winds-medley-of-emotions/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/all-will-suffer/,43.6576535,-72.2840663,Weather forecast not found for specific date
Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown,https://visitseattle.org/events/cold-war-kids-20-years-tour/,42.2896932,-83.7207314,Weather forecast not found for specific date
Mau P,2/3/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/mau-p/,47.6085136,-122.3394726,Weather forecast not found for specific date
Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/randy-rainbow-for-president/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
The Delta Bombers,2/3/2024,El Corazon,Music,Downtown,https://visitseattle.org/events/the-delta-bombers/,-5.2464353,-78.9699948,Weather API response code: 404
Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/seattle-chamber-music-winter-festival/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/beethoven-emperor-concerto/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/sergio-mendes/,47.6148163,-122.339691,Weather forecast not found for specific date
Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/daniel-tigers-neighborhood/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Lil Skies,2/4/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/lil-skies/,47.6085136,-122.3394726,Weather forecast not found for specific date
Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/criminal/,42.2896932,-83.7207314,Weather forecast not found for specific date
Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/neck-deep/,47.5880461,-122.333928,Weather forecast not found for specific date
Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/kazu-kibuishi-with-donna-barba-higuera/,47.6090191,-122.32993774092222,Weather forecast not found for specific date
Night Lovell,2/6/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/night-lovell/,47.6085136,-122.3394726,Weather forecast not found for specific date
Soja,2/6/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/soja/,N/A,N/A,N/A
Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/kenny-barron-trio/,47.6148163,-122.339691,Weather forecast not found for specific date
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/tamara-payne-the-life-and-legacy-of-malcolm-x/,47.6090191,-122.32993774092222,Weather forecast not found for specific date
The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/the-kills/,47.5880461,-122.333928,Weather forecast not found for specific date
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown,https://visitseattle.org/events/an-evening-with-tina-campt-black-feminist-visual-culture/,47.6090191,-122.32993774092222,Weather forecast not found for specific date
Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West,https://visitseattle.org/events/art-and-transformation/,47.6251322,-122.51453295865404,Weather forecast not found for specific date
Eric Bellinger,2/8/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/eric-bellinger/,47.6085136,-122.3394726,Weather forecast not found for specific date
Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District,https://visitseattle.org/events/futurebirds-and-nude-party/,N/A,N/A,N/A
Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/ilana-glazer-live/,42.2896932,-83.7207314,Weather forecast not found for specific date
Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/mister-blank/,47.6523876,-122.3538541520202,Weather forecast not found for specific date
The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/the-thorn/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/barry-cant-swim/,47.613954,-122.3196108,Weather forecast not found for specific date
